Generated by Angry IP Scanner 3.9.0
https://angryip.org

Scanned 192.168.40.1 - 192.168.40.254
Jan 4, 2023, 7:08:45 AM

IP              Ping            Hostname                Ports           
192.168.40.2    52 ms           [n/a]                   80              
192.168.40.9    54 ms           [n/a]                   80              
192.168.40.245  35 ms           [n/a]                   80              
192.168.40.246  37 ms           [n/a]                   80              
192.168.40.247  36 ms           [n/a]                   80              
192.168.40.249  31 ms           [n/a]                   80              
192.168.40.250  31 ms           [n/a]                   80              
192.168.40.251  32 ms           [n/a]                   80              
192.168.40.252  37 ms           [n/a]                   80              
192.168.40.253  40 ms           [n/a]                   80              
192.168.40.248  26 ms           [n/a]                   8080            
192.168.40.254  35 ms           [n/a]                   8080            
192.168.40.1    17 ms           [n/a]                   [n/a]           
192.168.40.244  55 ms           [n/a]                   [n/a]           
